Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Total,Date,Time,Payment,gross margin percentage,gross income,Rating
870-72-4431,C,Naypyitaw,Normal,Female,Health and beauty, $99.19 ,6, $624.90 ,1-21-2019,14:42,Credit card,4.7%, $29.76 ,5.5
847-38-7188,B,Mandalay,Normal,Female,Food and beverages, $96.68 ,3, $304.54 ,1-26-2019,19:56,Ewallet,4.7%, $14.50 ,6.4
480-63-2856,C,Naypyitaw,Normal,Male,Food and beverages, $19.25 ,8, $161.70 ,1-23-2019,18:37,Ewallet,4.7%, $7.70 ,6.6
787-56-0757,C,Naypyitaw,Member,Female,Food and beverages, $80.36 ,4, $337.51 ,2-23-2019,18:45,Credit card,4.7%, $16.07 ,8.3
360-39-5055,C,Naypyitaw,Member,Male,Sports and travel, $48.91 ,5, $256.78 ,9-3-2019,10:17,Cash,4.7%, $12.23 ,6.6
730-50-9884,C,Naypyitaw,Normal,Female,Sports and travel, $83.06 ,7, $610.49 ,5-3-2019,14:31,Ewallet,4.7%, $29.07 ,4
362-58-8315,C,Naypyitaw,Normal,Male,Fashion accessories, $76.52 ,5, $401.73 ,3-25-2019,10:23,Cash,4.7%, $19.13 ,9.9
633-44-8566,A,Yangon,Member,Male,Food and beverages, $49.38 ,7, $362.94 ,3-27-2019,20:35,Credit card,4.7%, $17.28 ,7.3
504-35-8843,A,Yangon,Normal,Male,Sports and travel, $42.47 ,1, $44.59 ,2-1-2019,16:57,Cash,4.7%, $2.12 ,5.7
318-68-5053,B,Mandalay,Normal,Female,Health and beauty, $76.99 ,6, $485.04 ,2-27-2019,17:55,Cash,4.7%, $23.10 ,6.1
565-80-5980,C,Naypyitaw,Member,Female,Home and lifestyle, $47.38 ,4, $199.00 ,1-23-2019,10:25,Cash,4.7%, $9.48 ,7.1
225-32-0908,C,Naypyitaw,Normal,Female,Sports and travel, $44.86 ,10, $471.03 ,1-26-2019,19:54,Ewallet,4.7%, $22.43 ,8.2
873-51-0671,A,Yangon,Member,Female,Sports and travel, $21.98 ,7, $161.55 ,10-1-2019,16:42,Ewallet,4.7%, $7.69 ,5.1
152-08-9985,B,Mandalay,Member,Male,Health and beauty, $64.36 ,9, $608.20 ,12-3-2019,12:09,Credit card,4.7%, $28.96 ,8.6
512-91-0811,C,Naypyitaw,Normal,Male,Health and beauty, $89.75 ,1, $94.24 ,6-2-2019,20:05,Credit card,4.7%, $4.49 ,6.6
594-34-4444,A,Yangon,Normal,Male,Electronic accessories, $97.16 ,1, $102.02 ,8-3-2019,20:38,Ewallet,4.7%, $4.86 ,7.2
766-85-7061,B,Mandalay,Normal,Male,Health and beauty, $87.87 ,10, $922.64 ,3-29-2019,10:25,Ewallet,4.7%, $43.94 ,5.1
871-39-9221,C,Naypyitaw,Normal,Female,Electronic accessories, $12.45 ,6, $78.44 ,9-2-2019,13:11,Cash,4.7%, $3.74 ,4.1
865-92-6136,A,Yangon,Normal,Male,Food and beverages, $52.75 ,3, $166.16 ,3-23-2019,10:16,Ewallet,4.7%, $7.91 ,9.3
733-01-9107,B,Mandalay,Normal,Male,Home and lifestyle, $82.70 ,6, $521.01 ,5-3-2019,18:14,Cash,4.7%, $24.81 ,7.4
163-56-7055,C,Naypyitaw,Member,Male,Fashion accessories, $48.71 ,1, $51.15 ,3-26-2019,19:20,Cash,4.7%, $2.44 ,4.1
189-98-2939,C,Naypyitaw,Normal,Male,Fashion accessories, $78.55 ,9, $742.30 ,1-3-2019,13:22,Cash,4.7%, $35.35 ,7.2
551-21-3069,C,Naypyitaw,Normal,Female,Electronic accessories, $23.07 ,9, $218.01 ,1-2-2019,11:27,Cash,4.7%, $10.38 ,4.9
212-62-1842,A,Yangon,Normal,Male,Food and beverages, $58.26 ,6, $367.04 ,3-28-2019,16:44,Cash,4.7%, $17.48 ,9.9
716-39-1409,B,Mandalay,Normal,Male,Health and beauty, $30.35 ,7, $223.07 ,3-19-2019,18:19,Cash,4.7%, $10.62 ,8
704-48-3927,A,Yangon,Member,Male,Electronic accessories, $88.67 ,10, $931.04 ,12-1-2019,14:50,Ewallet,4.7%, $44.34 ,7.3
628-34-3388,C,Naypyitaw,Normal,Male,Fashion accessories, $27.38 ,6, $172.49 ,5-1-2019,20:54,Credit card,4.7%, $8.21 ,7.9
630-74-5166,A,Yangon,Normal,Male,Sports and travel, $62.13 ,6, $391.42 ,3-22-2019,20:19,Cash,4.7%, $18.64 ,7.4
588-01-7461,C,Naypyitaw,Normal,Female,Food and beverages, $33.98 ,9, $321.11 ,3-24-2019,10:43,Cash,4.7%, $15.29 ,4.2
861-77-0145,C,Naypyitaw,Member,Male,Electronic accessories, $81.97 ,10, $860.69 ,3-3-2019,14:30,Cash,4.7%, $40.99 ,9.2
479-26-8945,B,Mandalay,Member,Female,Sports and travel, $16.49 ,2, $34.63 ,5-2-2019,11:32,Ewallet,4.7%, $1.65 ,4.6
210-67-5886,C,Naypyitaw,Member,Female,Health and beauty, $98.21 ,3, $309.36 ,5-2-2019,10:41,Credit card,4.7%, $14.73 ,7.8
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories, $72.84 ,7, $535.37 ,2-15-2019,12:44,Cash,4.7%, $25.49 ,8.4
645-44-1170,A,Yangon,Member,Male,Home and lifestyle, $58.07 ,9, $548.76 ,1-19-2019,20:07,Ewallet,4.7%, $26.13 ,4.3
237-01-6122,C,Naypyitaw,Member,Female,Home and lifestyle, $80.79 ,9, $763.47 ,1-2-2019,20:31,Credit card,4.7%, $36.36 ,9.5
225-98-1496,C,Naypyitaw,Normal,Female,Fashion accessories, $27.02 ,3, $85.11 ,2-3-2019,13:01,Credit card,4.7%, $4.05 ,7.1
291-32-1427,B,Mandalay,Member,Male,Fashion accessories, $21.94 ,5, $115.19 ,5-3-2019,12:29,Ewallet,4.7%, $5.49 ,5.3
659-65-8956,B,Mandalay,Member,Male,Fashion accessories, $51.36 ,1, $53.93 ,1-16-2019,15:26,Ewallet,4.7%, $2.57 ,5.2
642-32-2990,A,Yangon,Normal,Female,Food and beverages, $10.96 ,10, $115.08 ,2-2-2019,20:48,Ewallet,4.7%, $5.48 ,6
378-24-2715,B,Mandalay,Normal,Male,Home and lifestyle, $53.44 ,2, $112.22 ,1-20-2019,20:38,Ewallet,4.7%, $5.34 ,4.1
638-60-7125,A,Yangon,Normal,Female,Electronic accessories, $99.56 ,8, $836.30 ,2-14-2019,17:03,Credit card,4.7%, $39.82 ,5.2
659-36-1684,C,Naypyitaw,Member,Male,Sports and travel, $57.12 ,7, $419.83 ,12-1-2019,12:02,Credit card,4.7%, $19.99 ,6.5
219-22-9386,B,Mandalay,Member,Male,Sports and travel, $99.96 ,9, $944.62 ,9-3-2019,17:26,Credit card,4.7%, $44.98 ,4.2
336-78-2147,C,Naypyitaw,Member,Male,Home and lifestyle, $63.91 ,8, $536.84 ,3-13-2019,19:52,Credit card,4.7%, $25.56 ,4.6
268-27-6179,B,Mandalay,Member,Female,Fashion accessories, $56.47 ,8, $474.35 ,9-3-2019,14:57,Ewallet,4.7%, $22.59 ,7.3
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle, $93.69 ,7, $688.62 ,10-3-2019,18:44,Credit card,4.7%, $32.79 ,4.5
870-54-3162,A,Yangon,Normal,Female,Sports and travel, $32.25 ,5, $169.31 ,1-27-2019,13:26,Cash,4.7%, $8.06 ,9
189-08-9157,C,Naypyitaw,Normal,Female,Fashion accessories, $31.73 ,9, $299.85 ,8-1-2019,16:17,Credit card,4.7%, $14.28 ,5.9
663-86-9076,C,Naypyitaw,Member,Female,Food and beverages, $68.54 ,8, $575.74 ,8-1-2019,15:57,Ewallet,4.7%, $27.42 ,8.5
549-84-7482,B,Mandalay,Normal,Female,Sports and travel, $90.28 ,9, $853.15 ,8-2-2019,11:15,Ewallet,4.7%, $40.63 ,7.2
191-10-6171,B,Mandalay,Normal,Female,Fashion accessories, $39.62 ,7, $291.21 ,1-25-2019,13:18,Cash,4.7%, $13.87 ,7.5
802-70-5316,A,Yangon,Member,Female,Sports and travel, $92.13 ,6, $580.42 ,6-3-2019,20:34,Cash,4.7%, $27.64 ,8.3
695-51-0018,B,Mandalay,Normal,Female,Sports and travel, $34.84 ,4, $146.33 ,10-2-2019,18:36,Cash,4.7%, $6.97 ,7.4
590-83-4591,B,Mandalay,Member,Male,Electronic accessories, $87.45 ,6, $550.94 ,2-17-2019,14:40,Credit card,4.7%, $26.24 ,8.8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty, $81.30 ,6, $512.19 ,8-3-2019,16:43,Ewallet,4.7%, $24.39 ,5.3
597-78-7908,C,Naypyitaw,Normal,Male,Fashion accessories, $90.22 ,3, $284.19 ,2-18-2019,19:39,Cash,4.7%, $13.53 ,6.2
700-81-1757,A,Yangon,Normal,Female,Electronic accessories, $26.31 ,5, $138.13 ,1-18-2019,20:59,Credit card,4.7%, $6.58 ,8.8
354-39-5160,A,Yangon,Member,Female,Home and lifestyle, $34.42 ,6, $216.85 ,2-18-2019,15:39,Cash,4.7%, $10.33 ,9.8
241-72-9525,B,Mandalay,Normal,Male,Sports and travel, $51.91 ,10, $545.06 ,2-16-2019,12:21,Cash,4.7%, $25.96 ,8.2
575-30-8091,A,Yangon,Normal,Male,Sports and travel, $72.50 ,8, $609.00 ,3-16-2019,19:25,Ewallet,4.7%, $29.00 ,9.2
731-81-9469,C,Naypyitaw,Member,Female,Sports and travel, $89.80 ,10, $942.90 ,1-23-2019,13:00,Credit card,4.7%, $44.90 ,5.4
280-17-4359,C,Naypyitaw,Member,Male,Health and beauty, $90.50 ,10, $950.25 ,1-25-2019,13:48,Cash,4.7%, $45.25 ,8.1
338-65-2210,C,Naypyitaw,Member,Female,Health and beauty, $68.60 ,10, $720.30 ,5-2-2019,19:57,Cash,4.7%, $34.30 ,9.1
488-25-4221,C,Naypyitaw,Member,Female,Food and beverages, $30.41 ,1, $31.93 ,2-22-2019,10:36,Credit card,4.7%, $1.52 ,8.4
239-10-7476,A,Yangon,Normal,Female,Home and lifestyle, $77.95 ,6, $491.09 ,1-21-2019,16:37,Ewallet,4.7%, $23.39 ,8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty, $46.26 ,6, $291.44 ,8-3-2019,17:11,Credit card,4.7%, $13.88 ,9.5
685-64-1609,A,Yangon,Member,Female,Fashion accessories, $30.14 ,10, $316.47 ,10-2-2019,12:28,Ewallet,4.7%, $15.07 ,9.2
568-90-5112,C,Naypyitaw,Normal,Male,Health and beauty, $66.14 ,4, $277.79 ,3-19-2019,12:46,Credit card,4.7%, $13.23 ,5.6
262-47-2794,B,Mandalay,Member,Male,Home and lifestyle, $71.86 ,8, $603.62 ,6-3-2019,15:07,Credit card,4.7%, $28.74 ,6.2
238-49-0436,A,Yangon,Normal,Male,Health and beauty, $32.46 ,8, $272.66 ,3-27-2019,13:48,Credit card,4.7%, $12.98 ,4.9
608-96-3517,B,Mandalay,Member,Female,Fashion accessories, $91.54 ,4, $384.47 ,3-23-2019,19:20,Credit card,4.7%, $18.31 ,4.8
584-86-7256,C,Naypyitaw,Member,Male,Sports and travel, $34.56 ,7, $254.02 ,11-3-2019,16:07,Credit card,4.7%, $12.10 ,7.3
746-94-0204,A,Yangon,Normal,Male,Fashion accessories, $83.24 ,9, $786.62 ,1-29-2019,11:56,Credit card,4.7%, $37.46 ,7.4
214-17-6927,C,Naypyitaw,Normal,Female,Food and beverages, $16.48 ,6, $103.82 ,7-2-2019,18:23,Ewallet,4.7%, $4.94 ,9.9
400-89-4171,C,Naypyitaw,Normal,Female,Sports and travel, $80.97 ,8, $680.15 ,1-28-2019,13:05,Cash,4.7%, $32.39 ,9.3
782-95-9291,A,Yangon,Member,Male,Food and beverages, $92.29 ,5, $484.52 ,2-20-2019,15:55,Credit card,4.7%, $23.07 ,9
279-74-2924,B,Mandalay,Member,Male,Electronic accessories, $72.17 ,1, $75.78 ,4-1-2019,19:40,Cash,4.7%, $3.61 ,6.1
307-85-2293,B,Mandalay,Normal,Male,Home and lifestyle, $50.28 ,5, $263.97 ,7-3-2019,13:58,Ewallet,4.7%, $12.57 ,9.7
743-04-1105,B,Mandalay,Member,Male,Health and beauty, $97.22 ,9, $918.73 ,3-30-2019,14:43,Ewallet,4.7%, $43.75 ,6
423-57-2993,B,Mandalay,Normal,Male,Sports and travel, $93.39 ,6, $588.36 ,3-27-2019,19:18,Ewallet,4.7%, $28.02 ,10
894-41-5205,C,Naypyitaw,Normal,Female,Food and beverages, $43.18 ,8, $362.71 ,1-19-2019,19:39,Credit card,4.7%, $17.27 ,8.3
275-28-0149,A,Yangon,Normal,Male,Sports and travel, $63.69 ,1, $66.87 ,2-25-2019,16:21,Cash,4.7%, $3.18 ,6
101-17-6199,A,Yangon,Normal,Male,Food and beverages, $45.79 ,7, $336.56 ,3-13-2019,19:44,Credit card,4.7%, $16.03 ,7
423-80-0988,C,Naypyitaw,Normal,Male,Sports and travel, $76.40 ,2, $160.44 ,1-30-2019,19:42,Ewallet,4.7%, $7.64 ,6.5
548-46-9322,B,Mandalay,Normal,Male,Food and beverages, $39.90 ,10, $418.95 ,2-20-2019,15:24,Credit card,4.7%, $19.95 ,5.9
505-02-0892,B,Mandalay,Member,Male,Health and beauty, $42.57 ,8, $357.59 ,2-25-2019,14:12,Ewallet,4.7%, $17.03 ,5.6
234-65-2137,C,Naypyitaw,Normal,Male,Home and lifestyle, $95.58 ,10," $1,003.59 ",1-16-2019,13:32,Cash,4.7%, $47.79 ,4.8
687-47-8271,A,Yangon,Normal,Male,Fashion accessories, $98.98 ,10," $1,039.29 ",8-2-2019,16:20,Credit card,4.7%, $49.49 ,8.7
796-32-9050,A,Yangon,Normal,Male,Food and beverages, $51.28 ,6, $323.06 ,1-19-2019,16:31,Cash,4.7%, $15.38 ,6.5
105-31-1824,A,Yangon,Member,Male,Sports and travel, $69.52 ,7, $510.97 ,1-2-2019,15:10,Credit card,4.7%, $24.33 ,8.5
249-42-3782,A,Yangon,Normal,Male,Health and beauty, $70.01 ,5, $367.55 ,3-1-2019,11:36,Ewallet,4.7%, $17.50 ,5.5
316-55-4634,B,Mandalay,Member,Male,Food and beverages, $80.05 ,5, $420.26 ,1-26-2019,12:45,Credit card,4.7%, $20.01 ,9.4
733-33-4967,C,Naypyitaw,Normal,Male,Electronic accessories, $20.85 ,8, $175.14 ,3-3-2019,19:17,Cash,4.7%, $8.34 ,6.3
608-27-6295,B,Mandalay,Member,Male,Electronic accessories, $52.89 ,6, $333.21 ,1-19-2019,17:34,Credit card,4.7%, $15.87 ,9.8
414-12-7047,B,Mandalay,Normal,Male,Food and beverages, $19.79 ,8, $166.24 ,1-18-2019,12:04,Ewallet,4.7%, $7.92 ,8.7
827-26-2100,A,Yangon,Member,Male,Home and lifestyle, $33.84 ,9, $319.79 ,3-21-2019,16:21,Ewallet,4.7%, $15.23 ,8.8
175-54-2529,A,Yangon,Member,Male,Food and beverages, $22.17 ,8, $186.23 ,3-3-2019,17:01,Credit card,4.7%, $8.87 ,9.6
139-52-2867,C,Naypyitaw,Normal,Female,Fashion accessories, $22.51 ,7, $165.45 ,2-13-2019,10:50,Credit card,4.7%, $7.88 ,4.8
407-63-8975,A,Yangon,Normal,Male,Food and beverages, $73.88 ,6, $465.44 ,3-23-2019,19:16,Ewallet,4.7%, $22.16 ,4.4
